branch_id,branch_name,kota,provinsi,average_rating,total_transactions
79232,Kimia Farma - Klinik & Apotek,Lubuklinggau,Sumatera Selatan,4.0942408376963355,382
66676,Kimia Farma - Klinik & Apotek,Sibolga,Sumatera Utara,4.0805352798053525,411
12069,Kimia Farma - Klinik & Apotek,Padang,Sumatera Barat,4.0772357723577253,369
79725,Kimia Farma - Apotek,Pematangsiantar,Sumatera Utara,4.0763925729442976,377
39338,Kimia Farma - Klinik & Apotek,Karawang,Jawa Barat,4.07603092783505,388
17633,Kimia Farma - Klinik & Apotek,Tasikmalaya,Jawa Barat,4.0758152173913045,368
87700,Kimia Farma - Klinik-Apotek-Laboratorium,Cikampek,Jawa Barat,4.073737373737373,396
38733,Kimia Farma - Apotek,Ambon,Maluku,4.0725060827250585,411
44061,Kimia Farma - Klinik-Apotek-Laboratorium,Kotamobagu,Sulawesi Utara,4.0703980099502441,402
37079,Kimia Farma - Klinik-Apotek-Laboratorium,Bitung,Sulawesi Utara,4.0692874692874694,407
72902,Kimia Farma - Klinik-Apotek-Laboratorium,Pangkalpinang,Bangka Belitung,4.0678921568627473,408
87242,Kimia Farma - Klinik-Apotek-Laboratorium,Samarinda,Kalimantan Timur,4.0670329670329686,364
39788,Kimia Farma - Apotek,Jambi,Jambi,4.0659090909090931,396
49260,Kimia Farma - Apotek,Ambon,Maluku,4.065569620253167,395
14724,Kimia Farma - Klinik-Apotek-Laboratorium,Denpasar,Bali,4.0654970760233908,342
13935,Kimia Farma - Apotek,Tebing Tinggi,Sumatera Utara,4.0653005464480882,366
13831,Kimia Farma - Apotek,Tebing Tinggi,Sumatera Utara,4.06426735218509,389
37599,Kimia Farma - Klinik & Apotek,Manado,Sulawesi Utara,4.0640826873385034,387
69471,Kimia Farma - Apotek,Probolinggo,Jawa Timur,4.0631713554987172,391
60234,Kimia Farma - Klinik-Apotek-Laboratorium,Purwokerto,Jawa Tengah,4.0626373626373624,364
35707,Kimia Farma - Klinik-Apotek-Laboratorium,Purwokerto,Jawa Tengah,4.0625935162094766,401
21490,Kimia Farma - Apotek,Jayapura,Papua,4.0620786516853951,356
71587,Kimia Farma - Klinik & Apotek,Pematangsiantar,Sumatera Utara,4.061538461538464,403
96387,Kimia Farma - Klinik-Apotek-Laboratorium,Malang,Jawa Timur,4.0613744075829343,422
76761,Kimia Farma - Klinik-Apotek-Laboratorium,Bitung,Sulawesi Utara,4.0606145251396644,358
45428,Kimia Farma - Klinik-Apotek-Laboratorium,Tasikmalaya,Jawa Barat,4.06055979643766,393
65560,Kimia Farma - Apotek,Balikpapan,Kalimantan Timur,4.0603818615751779,419
81717,Kimia Farma - Klinik-Apotek-Laboratorium,Tangerang,Banten,4.0602777777777765,360
25945,Kimia Farma - Apotek,Padang,Sumatera Barat,4.0601503759398545,399
63655,Kimia Farma - Klinik-Apotek-Laboratorium,Pekanbaru,Riau,4.059750000000002,400
50014,Kimia Farma - Apotek,Malang,Jawa Timur,4.0597368421052638,380
85981,Kimia Farma - Klinik-Apotek-Laboratorium,Cirebon,Jawa Barat,4.0594660194174761,412
67645,Kimia Farma - Klinik-Apotek-Laboratorium,Pekanbaru,Riau,4.0586734693877551,392
40540,Kimia Farma - Apotek,Ciamis,Jawa Barat,4.0585164835164882,364
67306,Kimia Farma - Klinik & Apotek,Semarang,Jawa Tengah,4.05835475578406,389
19867,Kimia Farma - Klinik & Apotek,Bima,Nusa Tenggara Barat,4.0575609756097624,410
